Control,Low pH (2.5) and Ideal Water Temp,High pH (12.5) and Ideal Water Temp,Ideal pH and Low Water Temp (10 °C),Ideal pH and High Water Temp (34 °C)
3719036.739,141071.8921,130040.8384,107932.0164,230748.1665
595617.1853,88961.81762,61988.34321,57136.32632,169684.9317
936907.7121,91397.042,89870.02158,253509.8468,103469.2179
674070.805,121576.9541,215974.4495,59907.77733,55604.38588
3937789.27,79278.68864,124682.02,127957.5964,123669.1905
644529.5569,262913.0995,251481.0847,193991.9437,99056.62358
2003896.661,71888.58326,184515.9,69650.5902,83015.68652
2165482.953,225299.3056,107032.6922,236382.2461,98087.34512
1588263.157,139569.5832,108509.5213,106672.5771,167255.3785
1146668.545,185597.6239,294733.2849,128688.3942,170105.918
